FID,Elevation,Easting,Northing,Relief
0,122.09,263867.5,3768591.5,46.61
1,15.5,264613.5,3767804.5,21.88
2,208.55,263138.5,3768638.5,16.41
3,71.84,264145.5,3767909.5,109.16
4,241.92,262788.5,3768384.5,23.4
5,187.43,263146.5,3768273.5,20.07
6,17.12,264573.5,3767799.5,88.18
7,178.59,263021.5,3767584.5,90.21
8,84.96,263752.5,3767502.5,26.94
9,17.65,264613.5,3767840.5,44
10,134.64,263243.5,3767864.5,49.56
11,251.9,262345.5,3768095.5,57.2
12,222.89,262512.5,3768118.5,28.71
13,165.77,262899.5,3767968.5,49.03
14,141.49,263133.5,3767924.5,18.21
15,118.9,263354.5,3767806.5,15.2
16,97.07,263504.5,3767662.5,13.73
17,32.81,264366.5,3767632.5,23.29
18,286,262254,3768192,47
